INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2008	2008	17404.13495		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2009	2009	23455.34087		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2010	2010	24353.42254		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2011	2011	24818.32956		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2012	2012	21740.03359		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2013	2013	20713.42203		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	CYP	Cyprus	2014	2014	20925.90561		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	1996	1996	13698.01795		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	1997	1997	13864.06295		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	1998	1998	16921.08129		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2001	2001	8828.26236		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2002	2002	11026.93228		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2003	2003	11679.99147		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2006	2006	31232.72717		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2007	2007	32587.95267		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2008	2008	85099.15162		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2009	2009	20872.41817		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2010	2010	24192.30338		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2011	2011	31236.47473		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2012	2012	47679.1963		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2013	2013	52744.40881		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	ECU	Ecuador	2014	2014	76779.36699		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	EST	Estonia	1998	1998	27974.66799		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	EST	Estonia	1999	1999	32487.06105		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2000	2000	34782.48015		
EXPPPP_CONST_TA_BARES	GERD - Basic research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2001	2001	40867.7075		
