INDICATOR	Indicator	LOCATION	Country	TIME	Time	Value	Flag Codes	Flags
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	1999	1999	27382.40938		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2000	2000	25797.88569		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2001	2001	37882.34798		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2002	2002	38226.22826		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2003	2003	41695.74499		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2004	2004	43732.90573		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2005	2005	49357.47664		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2006	2006	63863.4673		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2007	2007	64152.41628		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2008	2008	69848.42003		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2009	2009	77379.64931		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2010	2010	72769.49961		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2011	2011	88254.36558		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2012	2012	113331.3895		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2013	2013	138020.0926		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	EST	Estonia	2014	2014	97243.1549		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	ETH	Ethiopia	2010	2010	87969.22813		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	ETH	Ethiopia	2013	2013	308733.4392		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	GTM	Guatemala	2005	2005	20586.7836		
EXPPPP_CONST_TA_APPRES	GERD - Applied research (in '000 PPP$, constant prices - 2005)	GTM	Guatemala	2006	2006	24869.81562		
